organoid_type,doi,pmcid,first_author,year,journal,species,source_cell_type,license,has_methods,has_supplement,gold_candidate,flags,notes,pmid,title,cited_by,in_current_corpus
,10.1101/2023.07.26.550063,BIORXIV_2023.07.26.550063,"Palmieri, L.",2024,bioRxiv,,,cc_by_nc_nd,1,1,,,biorxiv preprint ingest,,Disease exacerbation in MYOrganoids derived from Duchenne Muscular Dystrophy iPSC reveals limitations of microdystrophin therapeutic efficacy,,0
,10.1101/2024.07.02.601804,BIORXIV_2024.07.02.601804,"Saiki, N.",2024,bioRxiv,,,cc_by_nc_nd,1,1,,,biorxiv preprint ingest,,Self-Organization of Sinusoidal Vessels in Pluripotent Stem Cell-derived Human Liver Bud Organoids,,0
,10.1101/2024.07.06.602364,BIORXIV_2024.07.06.602364,"Hushka, E. A.",2024,bioRxiv,,,cc_by_nc_nd,1,1,,,biorxiv preprint ingest,,Fully synthetic hydrogels promote robust crypt formation in intestinal organoids,,0
,10.1101/2024.07.08.602611,BIORXIV_2024.07.08.602611,"Jo, K.",2024,bioRxiv,,,cc_by_nc_nd,1,0,,,biorxiv preprint ingest,,Endogenous FGFs drive ERK-dependent cell fate patterning in 2D human gastruloids,,0
,10.1101/2024.04.01.587603,BIORXIV_2024.04.01.587603,"van Essen, M. J.",2024,bioRxiv,,,cc_by_nc_nd,1,0,,,biorxiv preprint ingest,,Sonic hedgehog medulloblastoma cells in co-culture with cerebellar organoids converge towards in vivo malignant cell states,,0
,10.1101/2024.07.08.602480,BIORXIV_2024.07.08.602480,"Jones, B. C.",2024,bioRxiv,,,cc_no,1,1,,,biorxiv preprint ingest,,Human Gastric Multi-Regional Assembloids Favour Functional Parietal Maturation and Allow Modelling of Antral Foveolar Hyperplasia,,0
,10.1101/2024.01.02.573939,BIORXIV_2024.01.02.573939,"Lee, J.-H.",2024,bioRxiv,,,cc_by_nc_nd,1,1,,,biorxiv preprint ingest,,Development of robust antiviral assays using relevant apical-out human airway organoids,,0
,10.1101/2024.07.09.602767,BIORXIV_2024.07.09.602767,"Vazquez, C.",2024,bioRxiv,,,cc_no,1,0,,,biorxiv preprint ingest,,Antiviral immunity within neural stem cells distinguishes viral strain differences in forebrain organoids,,0
,10.1101/2024.01.30.577659,BIORXIV_2024.01.30.577659,"Costa, M. d. N.",2024,bioRxiv,,,cc_no,1,1,,,biorxiv preprint ingest,,"LSD Modulates Proteins Involved in Cell Proteostasis, Energy Metabolism and Neuroplasticity in Human Brain Organoids",,0
,10.1101/2024.07.18.604098,BIORXIV_2024.07.18.604098,"Shimada, I. S.",2024,bioRxiv,,,cc_no,1,1,,,biorxiv preprint ingest,,Spatial ciliary signaling regulates the dorsal/ventral regionalization of human brain organoids,,0
,10.1101/2024.07.18.604049,BIORXIV_2024.07.18.604049,"Aristin Revilla, S.",2024,bioRxiv,,,cc_no,1,1,,,biorxiv preprint ingest,,Tumor-derived colorectal cancer organoids induce a unique Treg cell population through direct modulation of CD4+ T cell differentiation.,,0
,10.1101/2024.07.19.604365,BIORXIV_2024.07.19.604365,"Charles, S.",2024,bioRxiv,,,cc_by_nc,1,1,,,biorxiv preprint ingest,,Non-Invasive Quality Control of Organoid Cultures Using Mesofluidic CSTR Bioreactors and High-Content Imaging,,0
,10.1101/2024.07.19.604372,BIORXIV_2024.07.19.604372,"Evans, L. M. P.",2024,bioRxiv,,,cc_by_nc_nd,1,0,,,biorxiv preprint ingest,,Human iPSC-derived myelinating organoids andgloboid cells to study Krabbe Disease,,0
,10.1101/2023.09.22.559003,BIORXIV_2023.09.22.559003,"Gsell, S.",2024,bioRxiv,,,cc_by_nc,1,1,,,biorxiv preprint ingest,,Marangoni-like tissue flows enhance symmetry breaking of embryonic organoids,,0
,10.1101/2024.07.25.605147,BIORXIV_2024.07.25.605147,"Zolfaghar, M.",2024,bioRxiv,,,cc_by_nc_nd,1,0,,,biorxiv preprint ingest,,Cryopreservation of neuroectoderm on a pillar plate and in situ differentiation into human brain organoids,,0
,10.1101/2024.03.25.586638,BIORXIV_2024.03.25.586638,"Shrestha, S.",2024,bioRxiv,,,cc_by_nc_nd,1,1,,,biorxiv preprint ingest,,Regenerative human liver organoids (HLOs) in a pillar/perfusion plate for hepatotoxicity assays,,0
,10.1101/2024.07.31.605958,BIORXIV_2024.07.31.605958,"Schaart, J. M.",2024,bioRxiv,,,cc_no,1,1,,,biorxiv preprint ingest,,Development of an Organ-on-a-Chip for Correlative Microscopy: Visualizing Early Osteogenesis in 3D with High Resolution,,0
,10.1101/2023.08.03.551772,BIORXIV_2023.08.03.551772,"Mac, T. T.",2024,bioRxiv,,,cc_by,1,1,,,biorxiv preprint ingest,,Modeling corticotroph deficiency with pituitary organoids supports the functional role of NFKB2 in human pituitary differentiation,,0
,10.1101/2024.07.29.601702,BIORXIV_2024.07.29.601702,"Scholtes, M. P.",2024,bioRxiv,,,cc_by_nc_nd,1,0,,,biorxiv preprint ingest,,Integrative analysis of patient-derived tumoroids and ex vivo organoid modeling of ARID1A loss in bladder cancer reveals therapeutic molecular targets,,0
,10.1101/2024.08.02.606387,BIORXIV_2024.08.02.606387,"Ishahak, M.",2024,bioRxiv,,,cc_no,1,1,,,biorxiv preprint ingest,,Modeling glioblastoma tumor progression via CRISPR-engineered brain organoids,,0
,10.1101/2024.08.02.606417,BIORXIV_2024.08.02.606417,"Flagg, M.",2024,bioRxiv,,,cc0,1,0,,,biorxiv preprint ingest,,Enhanced replication of contemporary human highly pathogenic avian influenza H5N1 virus isolate in human lung organoids compared to bovine isolate,,0
,10.1101/2024.08.02.606317,BIORXIV_2024.08.02.606317,"Cordella, F.",2024,bioRxiv,,,cc_no,1,1,,,biorxiv preprint ingest,,Bezafibrate treatment rescues neurodevelopmental and neurodegenerative defects in 3D cortical organoid model of MAPT frontotemporal dementia,,0
,10.1101/2024.05.20.594865,BIORXIV_2024.05.20.594865,"Cook, S. R.",2024,bioRxiv,,,cc_no,1,1,,,biorxiv preprint ingest,,A 3D-printed multi-compartment organ-on-chip platform with a tubing-free pump models communication with the lymph node,,0
,10.1101/2024.08.05.606734,BIORXIV_2024.08.05.606734,"Yang, L.",2024,bioRxiv,,,cc_by_nc_nd,1,1,,,biorxiv preprint ingest,,Human Vascularized Macrophage-Islet Organoids to Model Immune-Mediated Pancreatic β cell Pyroptosis upon Viral Infection,,0
,10.1101/2024.01.15.575724,BIORXIV_2024.01.15.575724,"Kandula, A. K. R.",2024,bioRxiv,,,cc_by_nc_nd,1,0,,,biorxiv preprint ingest,,Generative AI for Cardiac Organoid Florescence Generation,,0
,10.1101/2022.10.07.511362,BIORXIV_2022.10.07.511362,"Ragusa, D.",2024,bioRxiv,,,cc_by,1,1,,,biorxiv preprint ingest,,Dissecting infant leukemia developmental origins with a hemogenic gastruloid model,,0
,10.1101/2024.08.10.607456,BIORXIV_2024.08.10.607456,"Dipali, S. S.",2024,bioRxiv,,,cc_no,1,1,,,biorxiv preprint ingest,,Self-organizing ovarian somatic organoids preserve cellular heterogeneity and reveal cellular contributions to ovarian aging,,0
,10.1101/2024.08.10.607464,BIORXIV_2024.08.10.607464,"Osaki, T.",2024,bioRxiv,,,cc_by_nc_nd,1,0,,,biorxiv preprint ingest,,Early differential impact of MeCP2 mutations on functional networks in Rett syndrome patient-derived human cerebral organoids,,0
,10.1101/2024.08.11.607471,BIORXIV_2024.08.11.607471,"Mu, H.",2024,bioRxiv,,,cc_no,1,1,,,biorxiv preprint ingest,,A Self-Assembling Immune-Featured Osteosarcoma Patient/PDX Derived Organoid Model and Biobank for Personalized Immune Therapy,,0
,10.1101/2024.01.22.576747,BIORXIV_2024.01.22.576747,"Salvato, I.",2024,bioRxiv,,,cc_no,1,1,,,biorxiv preprint ingest,,T-Cell-Mediated Killing in Glioblastoma Organoids induced by Adenoviral Delivery of the CIITA Transgene,,0
,10.1101/2023.04.26.538498,BIORXIV_2023.04.26.538498,"Li, E.",2024,bioRxiv,,,cc_by,1,1,,,biorxiv preprint ingest,,CRISPRi-based screens in iAssembloids to elucidate neuron-glia interactions,,0
,10.1101/2024.08.13.606910,BIORXIV_2024.08.13.606910,"Bonillo-Lopez, L.",2024,bioRxiv,,,cc_by_nc_nd,1,1,,,biorxiv preprint ingest,,Porcine Nasal Organoids as a model to study the interactions between the swine nasal microbiota and the host,,0
,10.1101/2024.08.12.607504,BIORXIV_2024.08.12.607504,"Myszczyszyn, A.",2024,bioRxiv,,,cc_by_nc_nd,1,0,,,biorxiv preprint ingest,,A hollow fiber membrane-based liver organoid-on-a-chip model for examining drug metabolism and transport,,0
,10.1101/2024.08.14.607977,BIORXIV_2024.08.14.607977,"Willott, T. O.",2024,bioRxiv,,,cc_no,1,0,,,biorxiv preprint ingest,,Modelling medulloblastoma pathogenesis and treatment in human cerebellar organoids.,,0
,10.1101/2024.08.15.608057,BIORXIV_2024.08.15.608057,"Qi, Z.",2024,bioRxiv,,,cc_no,1,1,,,biorxiv preprint ingest,,"Centimeter-scale, physiologically relevant intestinal organoids generated entirely from pluripotent stem cells",,0
,10.1101/2024.08.13.607832,BIORXIV_2024.08.13.607832,"Gros, A.",2024,bioRxiv,,,cc_by,1,1,,,biorxiv preprint ingest,,A quantitative pipeline for whole-mount deep imaging and multiscale analysis of gastruloids,,0
,10.1101/2024.08.18.608259,BIORXIV_2024.08.18.608259,"Kesharwani, A.",2024,bioRxiv,,,cc_no,1,0,,,biorxiv preprint ingest,,Modeling of vascular interactions in endochondral ossification using human embryonic stem cells-derived organoid on a microfluidic chip,,0
,10.1101/2024.08.21.608997,BIORXIV_2024.08.21.608997,"Lekkala, V. K. R.",2024,bioRxiv,,,cc_by_nc_nd,1,0,,,biorxiv preprint ingest,,Enhanced Maturity and Functionality of Vascularized Human Liver Organoids through 3D Bioprinting and Pillar Plate Culture,,0
,10.1101/2024.08.22.609097,BIORXIV_2024.08.22.609097,"Guyomar, T.",2024,bioRxiv,,,cc_by,1,1,,,biorxiv preprint ingest,,Asymmetry of acto-myosin cortices as active fluids shape cells in organoids,,0
,10.1101/2024.08.22.609271,BIORXIV_2024.08.22.609271,"Ojo, B. A.",2024,bioRxiv,,,cc_no,1,1,,,biorxiv preprint ingest,,Patient-derived colon epithelial organoids reveal lipid-related metabolic dysfunction in pediatric ulcerative colitis,,0
,10.1101/2024.08.23.609290,BIORXIV_2024.08.23.609290,"Sarieva, K.",2024,bioRxiv,,,cc_by,1,1,,,biorxiv preprint ingest,,Comparing the impact of sample multiplexing approaches for single-cell RNA-sequencing on downstream analysis using cerebellar organoids,,0
,10.1101/2024.08.23.609318,BIORXIV_2024.08.23.609318,"Joris, V.",2024,bioRxiv,,,cc_by,1,0,,,biorxiv preprint ingest,,FGF9 treatment reduces off-target chondrocytes from iPSC-derived kidney organoids,,0
,10.1101/2023.01.28.526051,BIORXIV_2023.01.28.526051,"Hussey, K.",2024,bioRxiv,,,cc_no,1,0,,,biorxiv preprint ingest,,Cell fate specification and conversion generate foveolar cone subtype patterning in human retinal organoids,,0
,10.1101/2024.08.28.610094,BIORXIV_2024.08.28.610094,"Zhao, M.",2024,bioRxiv,,,cc_by_nc,1,0,,,biorxiv preprint ingest,,Global Scientific Trends in Organoids from 2004 to 2023: A Data Bibliometric and Visualized Analysis,,0
,10.1101/2024.08.28.610103,BIORXIV_2024.08.28.610103,"Waechtershaeuser, K. N.",2024,bioRxiv,,,cc_by_nd,1,0,,,biorxiv preprint ingest,,Inhibition of IAPs induces programmed cell death and inflammatory signaling in patient-derived metastatic breast cancer organoids,,0
,10.1101/2024.08.30.610426,BIORXIV_2024.08.30.610426,"Al-Reza, H.",2024,bioRxiv,,,cc_by_nc_nd,1,0,,,biorxiv preprint ingest,,Self-Assembled Generation of Multi-zonal Liver Organoids from Human Pluripotent Stem Cells,,0
,10.1101/2024.08.29.610410,BIORXIV_2024.08.29.610410,"Kee, N.",2024,bioRxiv,,,cc_no,1,0,,,biorxiv preprint ingest,,Posterior specification of multi-lineage axial assembloids from human pluripotent stem cells.,,0
,10.1101/2024.08.31.610649,BIORXIV_2024.08.31.610649,"Cai, H.",2024,bioRxiv,,,cc_no,1,0,,,biorxiv preprint ingest,,Vascular network-inspired diffusible scaffolds for engineering functional neural organoids,,0
,10.1101/2024.09.01.610617,BIORXIV_2024.09.01.610617,"He, S.",2024,bioRxiv,,,cc_no,1,1,,,biorxiv preprint ingest,,Organoid Modeling and Single-Cell Profiling Uncover the Migration Mechanism of Smooth Muscle Cells in Moyamoya Disease,,0
,10.1101/2024.09.03.611030,BIORXIV_2024.09.03.611030,"Umans, B. D.",2024,bioRxiv,,,cc_by_nc_nd,1,1,,,biorxiv preprint ingest,,Oxygen-induced stress reveals context-specific gene regulatory effects in human brain organoids,,0
,10.1101/2024.09.03.610941,BIORXIV_2024.09.03.610941,"Elmkvist, S. B.",2024,bioRxiv,,,cc_by_nc_nd,1,1,,,biorxiv preprint ingest,,Temporal proteomic and PTMomic atlas of cerebral organoid development,,0
,10.1101/2024.09.03.610788,BIORXIV_2024.09.03.610788,"Wijnakker, J.",2024,bioRxiv,,,cc_by_nc_nd,1,1,,,biorxiv preprint ingest,,Integrin-activating Yersinia protein Invasin sustains long-term expansion of primary epithelial cells as 2D organoid sheets,,0
,10.1101/2024.09.05.609098,BIORXIV_2024.09.05.609098,"Garge, R. K.",2024,bioRxiv,,,cc_by,1,1,,,biorxiv preprint ingest,,The proteomic landscape and temporal dynamics of mammalian gastruloid development,,0
,10.1101/2024.09.07.611739,BIORXIV_2024.09.07.611739,"McCrimmon, C. M.",2024,bioRxiv,,,cc_no,1,1,,,biorxiv preprint ingest,,Modeling Cortical Versus Hippocampal Network Dysfunction in a Human Brain Assembloid Model of Epilepsy and Intellectual Disability,,0
,10.1101/2023.03.15.530726,BIORXIV_2023.03.15.530726,"Kim, J.-i.",2024,bioRxiv,,,cc_no,1,0,,,biorxiv preprint ingest,,Human assembloids reveal the consequences of CACNA1G gene variants in the thalamocortical pathway,,0
,10.1101/2024.09.08.611877,BIORXIV_2024.09.08.611877,"Zych, M.",2024,bioRxiv,,,cc_by_nc_nd,1,1,,,biorxiv preprint ingest,,Decidual natural killer cells promote extravillous trophoblast developmental pathways: evidence from trophoblast organoid co-cultures,,0
,10.1101/2024.09.09.611987,BIORXIV_2024.09.09.611987,"Bell, L.",2024,bioRxiv,,,cc_by,1,1,,,biorxiv preprint ingest,,Advanced Tissue Technologies of Blood-Brain Barrier Organoids as High Throughput Toxicity Readouts in Drug Development,,0
,10.1101/2024.09.10.611955,BIORXIV_2024.09.10.611955,"Capendale, P. E.",2024,bioRxiv,,,cc_by,1,1,,,biorxiv preprint ingest,,Parechovirus-3 infection disrupts immunometabolism and leads to glutamate excitotoxicity in neural organoids,,0
,10.1101/2024.09.11.612577,BIORXIV_2024.09.11.612577,"Isik, M.",2024,bioRxiv,,,cc_by_nc_nd,1,1,,,biorxiv preprint ingest,,Pathogenic microbiota disrupts the intact structure of cerebral organoids by altering energy metabolism,,0
