organoid_type,doi,pmcid,first_author,year,journal,species,source_cell_type,license,has_methods,has_supplement,gold_candidate,flags,notes,pmid,title,cited_by,in_current_corpus,sem_score,lex_rank
blood-brain-barrier,10.1016/j.heliyon.2024.e40813,PMC11732442,Bell,2025,Heliyon,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover blood-brain-barrier,39811336,Advanced tissue technologies of blood-brain barrier organoids as high throughput toxicity readouts in drug development,10,no,0.5846,3
blood-brain-barrier,10.3390/biomimetics10090624,PMC12467935,Ehab,2025,"Biomimetics (Basel, Switzerland)",tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover blood-brain-barrier,41002858,Hypoxia and Multilineage Communication in 3D Organoids for Human Disease Modeling,2,no,0.5803,8
blood-brain-barrier,10.14791/btrt.2022.0037,PMC9911715,Lee,2023,Brain tumor research and treatment,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover blood-brain-barrier,36762804,Advances in Brain Metastasis Models,3,no,0.572,11
blood-brain-barrier,10.7150/thno.130030,PMC13231839,Mitchell,2026,Theranostics,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover blood-brain-barrier,42244996,Human Multi-Organ-on-a-Chip Platforms for Next-Generation Drug Delivery Strategies,0,no,0.5688,6
blood-brain-barrier,10.1093/femsre/fuaf024,PMC12199766,Lalande,2025,FEMS microbiology reviews,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover blood-brain-barrier,40498321,Ex vivo study of neuroinvasive and neurotropic viruses: what is current and what is next,1,no,0.5151,10
blood-brain-barrier,10.1002/eji.202451063,PMC11628917,Snik,2024,European journal of immunology,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover blood-brain-barrier,39396370,Bridging the gap: Insights in the immunopathology of Lyme borreliosis,5,no,0.2267,4
thyroid,10.1016/j.stemcr.2021.02.011,PMC8072035,Ogundipe,2021,Stem cell reports,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover thyroid,33711265,Generation and Differentiation of Adult Tissue-Derived Human Thyroid Organoids,50,no,0.7343,6
thyroid,10.3390/medicina60040520,PMC11051914,Prete,2024,"Medicina (Kaunas, Lithuania)",tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover thyroid,38674166,State of the Art in 3D Culture Models Applied to Thyroid Cancer,4,no,0.6511,3
thyroid,10.3389/fendo.2022.1065410,PMC9755335,Li,2022,Frontiers in endocrinology,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover thyroid,36531472,Engineering a functional thyroid as a potential therapeutic substitute for hypothyroidism treatment: A systematic review,4,no,0.6478,4
thyroid,,PMC9887105,Choi,2023,BMB reports,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover thyroid,36523211,Current status and prospects of organoid-based regenerative medicine,16,no,0.6172,7
thyroid,10.34133/bmr.0016,PMC11018530,Jin,2024,Biomaterials research,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover thyroid,38628309,Advancing Organoid Engineering for Tissue Regeneration and Biofunctional Reconstruction,28,no,0.5953,5
thyroid,10.1186/s13287-025-04599-6,PMC12481855,Meng,2025,Stem cell research & therapy,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover thyroid,41023749,Head and neck cancer organoids: a panoramic perspective from basic construction to clinical translation,0,no,0.5068,2
thyroid,10.1530/erc-24-0216,PMC11906015,Venegas,2025,Endocrine-related cancer,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover thyroid,39970536,Divergent PTEN-p53 interaction upon DNA damage in a human thyroid organoid model with germline PTEN mutations,1,no,0.4262,1
salivary-gland,10.1186/s13287-023-03445-x,PMC10464143,Kang,2023,Stem cell research & therapy,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover salivary-gland,37620905,Maintenance of adult stem cells from human minor salivary glands via the Wnt signaling pathway,5,no,0.6729,7
salivary-gland,10.1186/s13287-021-02133-y,PMC8059179,Jeong,2021,Stem cell research & therapy,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover salivary-gland,33883032,Establishment of functional epithelial organoids from human lacrimal glands,30,no,0.6629,6
salivary-gland,10.4196/kjpp.25.149,PMC12576417,Park,2025,The Korean journal of physiology & pharmacology : official journal of the Korean Physiological Society and the Korean Society of Pharmacology,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover salivary-gland,40776800,Organoid-based modeling and regenerative strategies for salivary gland dysfunction,1,no,0.6583,5
salivary-gland,10.1038/s41467-024-51830-8,PMC11399342,Yoon,2024,Nature communications,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover salivary-gland,39271681,Author Correction: Salivary gland organoid culture maintains distinct glandular properties of murine and human major salivary glands,0,no,0.5637,2
salivary-gland,10.1002/advs.202508534,PMC12713053,Ma,2025,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover salivary-gland,41214890,"Multiscale Construction, Evaluation, and Application of Organoids",2,no,0.4855,3
salivary-gland,10.1016/j.xpro.2026.104366,PMC12925549,Jiang,2026,STAR protocols,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover salivary-gland,41701575,Protocol for establishing a mouse model of bilateral maxillary first molar extraction to study alveolar bone healing,0,no,0.4232,1
salivary-gland,10.3390/jcm15051945,PMC12985559,Meudec,2026,Journal of clinical medicine,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover salivary-gland,41827360,Update on the Aetiopathogenesis of Sjögren Disease: From Interferon Signaling to Epithelial Dysfunction,0,no,0.2913,4
prostate,10.7150/thno.134940,PMC13232435,He,2026,Theranostics,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover prostate,42244988,Therapeutic pressure drives the evolution of a protective ecotype characterized by AR-loss-induced senescence in prostate cancer,0,no,0.6263,2
prostate,10.1038/s41598-023-37320-9,PMC10290983,Li,2023,Scientific reports,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover prostate,37357228,Characterization of olfactomedin 4+ cells in prostate and urethral-tube epithelium during murine postnatal development and in adult mice,0,no,0.6202,7
prostate,10.1038/s41388-024-03230-x,PMC11810784,Rodrigues Sousa,2025,Oncogene,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover prostate,39592836,"CRIPTO's multifaceted role in driving aggressive prostate cancer unveiled by in vivo, organoid, and patient data",9,no,0.5913,6
prostate,10.1172/jci.insight.188062,PMC12220968,Khedmatgozar,2025,JCI insight,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover prostate,40392613,TIAM1 drives prostatic branching phenotype and is a potential therapeutic target for benign prostatic hyperplasia,1,no,0.5716,1
prostate,10.1038/s41586-025-09727-z,PMC12727498,Li,2026,Nature,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover prostate,41299174,NSD2 targeting reverses plasticity and drug resistance in prostate cancer,6,no,0.5644,4
prostate,10.1007/s12105-024-01658-x,PMC11213837,de Kort,2024,Head and neck pathology,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover prostate,38940869,Clinicopathological Factors as Predictors for Establishment of Patient Derived Head and Neck Squamous Cell Carcinoma Organoids,4,no,0.502,5
prostate,10.3389/fimmu.2025.1662792,PMC12411179,Tang,2025,Frontiers in immunology,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover prostate,40918147,The role of reactive oxygen species in the transformation from prostatitis to prostate cancer: a review,1,no,0.482,3
endometrial,10.1093/humrep/deaf223,PMC12864150,Rawlings,2026,"Human reproduction (Oxford, England)",tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover endometrial,41247772,New models of implantation: towards a whole better than the sum of parts,1,no,0.7198,1
endometrial,10.21769/bioprotoc.5584,PMC12887873,Bajetto,2026,Bio-protocol,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover endometrial,41676000,Simple and Rapid Model to Generate Differentiated Endometrial Floating Organoids,0,no,0.6863,4
endometrial,10.1093/hropen/hoag028,PMC13117623,Hernández-Díaz,2026,Human reproduction open,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover endometrial,42052577,"Reproductive fluids, commercial media, and organoids: bridging the gap in IVF culture systems",0,no,0.6844,3
endometrial,10.1002/advs.202509664,PMC12955949,Li,2026,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover endometrial,41431163,Endometrial Assembloid Model Reveals Endometrial Gland Development Regulation by Estradiol-Driven WNT7B Suppression,0,no,0.6823,8
endometrial,10.7554/elife.90729,PMC13043174,Zhang,2026,eLife,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover endometrial,41920166,Human receptive endometrial assembloid for deciphering the implantation window,0,no,0.6814,5
endometrial,10.21769/bioprotoc.5349,PMC12222628,Zhang,2025,Bio-protocol,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover endometrial,40620810,The Establishment of 3D Polarity-Reversed Organoids From Human Endometrial Tissue as a Model for Infection-Induced Endometritis,0,no,0.6255,2
endometrial,10.1007/s00018-026-06200-6,PMC13190940,Navarro-Serna,2026,Cellular and molecular life sciences : CMLS,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover endometrial,42009932,Hormonally responsive bovine oviductal organoids recapitulate native oviductal secretions and enhance sperm capacitation,0,no,0.58,6
endometrial,10.3389/fimmu.2026.1753651,PMC13132712,Zhang,2026,Frontiers in immunology,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover endometrial,42079573,Inflammasomes meet organoids and artificial intelligence: unraveling the complexity of gynecological inflammation,0,no,0.4325,7
mammary,10.3389/fbioe.2021.745943,PMC8602090,Mohan,2021,Frontiers in bioengineering and biotechnology,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover mammary,34805107,Current Status of Breast Organoid Models,21,no,0.7082,4
mammary,10.1007/s10911-025-09587-3,PMC12401754,Brezak,2025,Journal of mammary gland biology and neoplasia,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover mammary,40888933,Live-cell imaging of mammary organoids using light sheet microscopy,0,no,0.6239,3
mammary,10.1073/pnas.2514643122,PMC12646209,Li,2025,Proceedings of the National Academy of Sciences of the United States of America,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover mammary,41218124,METTL3-dependent m6A RNA methylation suppresses aberrant mammary epithelial differentiation and neoplastic transformation,0,no,0.4566,1
mammary,10.1126/sciadv.adt1851,PMC12309667,Yakavets,2025,Science advances,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover mammary,40737392,Machine learning-assisted exploration of multidrug-drug administration regimens for organoid arrays,4,no,0.4074,5
mammary,10.1042/bst20243002,PMC12493189,Lelièvre,2025,Biochemical Society transactions,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover mammary,40827349,Control of epithelial homeostasis by apical polarity: it takes a network,0,no,0.3526,2
inner-ear,10.1242/dev.201871,PMC10698753,Steinhart,2023,"Development (Cambridge, England)",tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover inner-ear,37796037,Mapping oto-pharyngeal development in a human inner ear organoid model,11,no,0.7122,2
inner-ear,10.1016/j.isci.2025.111817,PMC11834118,Matern,2025,iScience,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover inner-ear,39967872,A developmental atlas of mouse vestibular-like inner ear organoids,2,no,0.7035,1
inner-ear,10.1073/pnas.2410829122,PMC11745320,Wu,2025,Proceedings of the National Academy of Sciences of the United States of America,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover inner-ear,39773029,PKM2 controls cochlear development through lactate-dependent transcriptional regulation,10,no,0.6291,5
inner-ear,10.1038/s41597-025-04700-x,PMC11904228,Li,2025,Scientific data,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover inner-ear,40074778,Inner Ear Multiple Primary Cell Type Detection System,0,no,0.6025,4
inner-ear,10.1016/j.xpro.2025.104032,PMC12392772,Wu,2025,STAR protocols,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover inner-ear,40815565,"Protocol for vibratome sectioning, immunofluorescence, and S-phase labeling of inner ear organoids",0,no,0.6007,3
esophageal,10.1016/j.bioactmat.2025.12.046,PMC12809746,Park,2026,Bioactive materials,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover esophageal,41551765,Esophagus extracellular matrix with microenvironmental complexity for esophageal organoids,0,no,0.681,1
esophageal,,PMC8859204,Rolland,2022,Journal of the Canadian Association of Gastroenterology,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover esophageal,,A16 ESOPHAGEAL ORGANOID PROLIFERATION AND DIFFERENTIATION ARE ALTERED BY LOSS OF MSH2,0,no,0.6627,6
esophageal,10.3389/fcell.2026.1817560,PMC13161093,Xu,2026,Frontiers in cell and developmental biology,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover esophageal,42131111,Organoids glimpse: the nexus for diverse tumor heterogeneity,0,no,0.5197,3
esophageal,10.1098/rsob.190274,PMC7241074,Busslinger,2020,Open biology,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover esophageal,32259456,The potential and challenges of patient-derived organoids in guiding the multimodality treatment of upper gastrointestinal malignancies,12,no,0.515,5
esophageal,10.1016/j.gastha.2025.100874,PMC12865637,Ko,2026,Gastro hep advances,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover esophageal,41641362,Single-Cell Lineage Trajectory Defines Cyclin-Dependent Kinase Inhibitor-Sensitive Cells-of-Origin in Esophageal Squamous Cell Carcinoma,1,no,0.4705,4
esophageal,,PMC13228450,,2026,bioRxiv : the preprint server for biology,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover esophageal,,Spatiotemporal Transcriptomic Dissection Uncovers Age-Dependent Deceleration of Esophageal Cell Differentiation,0,no,0.4694,2
bladder,10.1038/s41416-023-02494-6,PMC10844626,Viergever,2024,British journal of cancer,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover bladder,38102228,Urine-derived bladder cancer organoids (urinoids) as a tool for cancer longitudinal response monitoring and therapy adaptation,17,no,0.6644,4
bladder,10.1038/s41598-018-19690-7,PMC5775255,Horsley,2018,Scientific reports,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover bladder,29352171,A urine-dependent human urothelial organoid offers a potential alternative to rodent models of infection,72,no,0.66,13
bladder,10.3390/ijms24076232,PMC10094462,Neuhaus,2023,International journal of molecular sciences,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover bladder,37047203,3D Tumor Models in Urology,6,no,0.646,2
bladder,10.1186/s12894-024-01590-w,PMC11418205,Nissanka,2024,BMC urology,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover bladder,39313789,Advances in experimental bladder models: bridging the gap between in vitro and in vivo approaches for investigating urinary tract infections,4,no,0.6009,6
bladder,10.1002/advs.202308438,PMC11200000,Xiao,2024,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover bladder,38582099,Integrative Single Cell Atlas Revealed Intratumoral Heterogeneity Generation from an Adaptive Epigenetic Cell State in Human Bladder Urothelial Carcinoma,10,no,0.5466,7
bladder,10.1038/s41467-026-68573-3,PMC12976268,Paduthol,2026,Nature communications,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover bladder,41634008,A microphysiological human mini-bladder reveals urine-urothelium interplay in tissue resilience and UPEC recurrence in urinary tract infections,0,no,0.4958,3
bladder,10.3389/fcimb.2021.691210,PMC8188986,Murray,2021,Frontiers in cellular and infection microbiology,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover bladder,34123879,Recurrent Urinary Tract Infection: A Mystery in Search of Better Model Systems,77,no,0.4747,11
bladder,10.1038/s41598-022-14256-0,PMC9203531,Vlaar,2022,Scientific reports,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover bladder,35710704,Recurrent exon-deleting activating mutations in AHR act as drivers of urinary tract cancer,3,no,0.4737,10
bladder,10.1016/j.slasd.2024.100182,PMC12380041,Bozal,2024,SLAS discovery : advancing life sciences R & D,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover bladder,39245180,Development of an automated 3D high content cell screening platform for organoid phenotyping,9,no,0.4569,1
bladder,10.1128/iai.00543-25,PMC13081728,Joshi,2026,Infection and immunity,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover bladder,41746166,Bacteriophage-mediated reduction of uropathogenic &lt;i&gt;E. coli&lt;/i&gt; from the urogenital epithelium,0,no,0.4531,8
bladder,10.3389/fimmu.2026.1753331,PMC12907181,Periasamy,2026,Frontiers in immunology,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover bladder,41705241,Harnessing pro-inflammatory and immunopathologic immune responses in urinary tract infections for vaccine development: it's all about a balance,0,no,0.3717,12
bladder,10.1002/mlf2.70053,PMC12948489,Shi,2026,mLife,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover bladder,41767948,Exploring microorganism-host interactions: Emerging organoid models and analytical approaches,0,no,0.3381,5
bladder,10.1177/23523735251412131,PMC12852623,,2026,"Bladder cancer (Amsterdam, Netherlands)",tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover bladder,41625014,Abstracts selected for poster presentation [listed in alphabetical order by presenter],0,no,-0.0031,9
skin,10.3390/life16050784,PMC13209094,Ianoși,2026,"Life (Basel, Switzerland)",tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover skin,42195340,RNA Coding and Transcriptional Regulation in Skin Repair: Insights from Single-Cell Profiling and Implications for Organoid-Based Regenerative Strategies,0,no,0.632,4
skin,10.1186/s13287-025-04447-7,PMC12220152,Zhou,2025,Stem cell research & therapy,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover skin,40598627,Causes and therapeutic limitations of clinical alopecia and the advent of human pluripotent stem cell follicular transplantation,2,no,0.5984,5
skin,10.1038/s41378-026-01170-y,PMC12949181,Yao,2026,Microsystems & nanoengineering,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover skin,41760606,In vitro modelling of extracellular matrix changes during skin aging: from static 2D to 3D dynamic microphysiological systems,0,no,0.577,3
skin,10.1093/burnst/tkag033,PMC13251885,Ahmed,2026,Burns & trauma,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover skin,42281780,Skin organoids as a new biological standard,0,no,0.5567,1
skin,10.1038/s41378-025-01149-1,PMC12847839,Lee,2026,Microsystems & nanoengineering,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover skin,41593045,Innovations in skin microphysiological systems for nonclinical testing and FDA modernization,0,no,0.5437,2
bone,10.7150/thno.105840,PMC11671374,Wang,2025,Theranostics,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover bone,39744680,Standardization and consensus in the development and application of bone organoids,36,no,0.8288,3
bone,10.1016/j.bioactmat.2026.04.008,PMC13099488,Han,2026,Bioactive materials,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover bone,42027811,Emerging engineering strategies in bone organoids: From biomimetic scaffolds to dynamic microenvironmental stimulation,0,no,0.7721,1
bone,10.1002/advs.202501437,PMC12407368,Deng,2025,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover bone,40538275,Microsphere Strategy to Generate Conformal Bone Organoid Units with Osteoimmunomodulation and Sustainable Oxygen Supply for Bone Regeneration,8,no,0.77,8
bone,10.1016/j.mtbio.2025.102533,PMC12639860,Chen,2025,Materials today. Bio,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover bone,41281636,Urine-derived stem cells efficiently assemble into micro-bone organoids supported by decellularized bone matrix microparticles for rapidly repairing bone defects through direct filling and paracrine functions,0,no,0.7171,7
bone,10.1016/j.bioactmat.2025.08.039,PMC12444486,Zhang,2025,Bioactive materials,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover bone,40980505,Liver-bone organoids reveal senescence-driven interorgan crosstalk,1,no,0.6561,4
bone,10.1182/bloodadvances.2024013361,PMC11732577,Ren,2025,Blood advances,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover bone,39471483,Development of iPSC-derived human bone marrow organoid for autonomous hematopoiesis and patient-derived HSPC engraftment,16,no,0.6422,5
bone,10.3390/onco5040051,PMC12674608,Silvestri,2025,Onco,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover bone,41346447,Rebuilding the Marrow &lt;i&gt;In Vitro&lt;/i&gt;: Translational Advances in the 3D Modeling of Blood Cancers,0,no,0.6222,6
bone,10.1016/j.jtha.2026.02.018,PMC7618946,North,2026,Journal of thrombosis and haemostasis : JTH,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover bone,41791669,"Engineering bone marrow in a dish-a bloody business: preclinical opportunities, translational use cases, and a call for consensus",0,no,0.6211,2
neuromuscular,10.3389/fcell.2024.1429759,PMC11222430,Couturier,2024,Frontiers in cell and developmental biology,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover neuromuscular,38966427,Aberrant evoked calcium signaling and nAChR cluster morphology in a <i>SOD1</i> D90A hiPSC-derived neuromuscular model,4,no,0.6981,7
neuromuscular,10.1002/adhm.202404111,PMC12232128,Rossi,2025,Advanced healthcare materials,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover neuromuscular,40320876,Engineering Assembloids to Mimic Graft-Host Skeletal Muscle Interaction,5,no,0.6356,5
neuromuscular,10.3390/biomedicines13051109,PMC12109395,Quarta,2025,Biomedicines,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover neuromuscular,40426938,Patient-Oriented In Vitro Studies in Duchenne Muscular Dystrophy: Validation of a 3D Skeletal Muscle Organoid Platform,0,no,0.6277,1
neuromuscular,10.34133/research.0699,PMC12078942,Li,2025,"Research (Washington, D.C.)",tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover neuromuscular,40375923,Microdroplet-Engineered Skeletal Muscle Organoids from Primary Tissue Recapitulate Parental Physiology with High Reproducibility,1,no,0.6044,4
neuromuscular,10.1002/advs.202505989,PMC12752671,Yao,2025,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover neuromuscular,41058014,Muscle Organoids Reveal Exercise-Like Contractions Rapidly Promote Muscle Health Via Lamtor1's Signaling to Both AMPK and mTOR,3,no,0.5878,3
neuromuscular,10.1016/j.crmeth.2026.101331,PMC12946742,Chiolerio,2026,Cell reports methods,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover neuromuscular,41709463,Human neuromuscular organoids mimic cancer-induced muscle cachexia,0,no,0.5043,2
neuromuscular,10.1021/acsnanoscienceau.5c00078,PMC12531862,Matsuura,2025,ACS nanoscience Au,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover neuromuscular,41112872,RNA Delivery Using a Graphene Oxide-Polyethylenimine Hybrid Inhibiting Myotube Differentiation,1,no,0.4478,6
fallopian-tube,10.3389/fcell.2021.661472,PMC8093793,Heremans,2021,Frontiers in cell and developmental biology,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover fallopian-tube,33959613,Organoids of the Female Reproductive Tract: Innovative Tools to Study Desired to Unwelcome Processes,23,no,0.6654,3
fallopian-tube,10.1158/2767-9764.crc-25-0064,PMC12319521,Sipes,2025,Cancer research communications,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover fallopian-tube,40689422,Defining the Ovarian Cancer Precancerous Landscape through Modeling Fallopian Tube Epithelium Reprogramming Driven by Extracellular Vesicles,1,no,0.612,4
fallopian-tube,10.3390/jpm12071048,PMC9316888,Maenhoudt,2022,Journal of personalized medicine,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover fallopian-tube,35887546,Modeling Endometrium Biology and Disease,15,no,0.6015,8
fallopian-tube,10.3390/life12071065,PMC9323215,Filardo,2022,"Life (Basel, Switzerland)",tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover fallopian-tube,35888153,Better In Vitro Tools for Exploring <i>Chlamydia trachomatis</i> Pathogenesis,6,no,0.5127,2
fallopian-tube,10.1371/journal.ppat.1012144,PMC11340892,Hovhannisyan,2024,PLoS pathogens,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover fallopian-tube,39172739,Infection of human organoids supports an intestinal niche for Chlamydia trachomatis,11,no,0.51,6
fallopian-tube,10.1016/j.celrep.2025.116708,PMC12978573,Dumbrava,2026,Cell reports,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover fallopian-tube,41485222,Single-cell resolution of an open chromatin signature in persister tumor cells,1,no,0.4875,5
fallopian-tube,10.1021/acsabm.4c01500,PMC11577420,Rayamajhi,2024,ACS applied bio materials,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover fallopian-tube,39482871,Tracking Small Extracellular Vesicles Using a Minimally Invasive PicoGreen Labeling Strategy,5,no,0.4399,1
fallopian-tube,10.3389/fcimb.2022.1029178,PMC9623337,Wang,2022,Frontiers in cellular and infection microbiology,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover fallopian-tube,36329823,New insights into <i>Chlamydia</i> pathogenesis: Role of leukemia inhibitory factor,9,no,0.3326,7
