organoid_type,doi,pmcid,first_author,year,journal,species,source_cell_type,license,has_methods,has_supplement,gold_candidate,flags,notes,pmid,title,cited_by,in_current_corpus
cardiac,10.1002/advs.202515661,PMC13248853,Hoang,2026,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,41837870,Size-Modulated Mesoderm-Endoderm Divergence and Myocardial Cavitation in Micropatterned Cardioids,0,no
cardiac,,PMC13228570,,2026,bioRxiv : the preprint server for biology,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover cardiac,,"Hyaluronan Underlies the Emergence of Form, Fate, and Function in Human Cardioids",0,no
cardiac,10.1186/s12933-026-03086-3,PMC13003744,Zhao,2026,Cardiovascular diabetology,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover cardiac,41618376,Advanced imaging strategies in cardiac organoids: bridging the gap between structural complexity and functional analysis,0,no
cardiac,10.1002/adhm.202504004,PMC13107919,Marini,2026,Advanced healthcare materials,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,41677066,Patient-Derived 3D Bioprinted Cardiac Organoid Constructs Reveal Key Pathological Features of Duchenne Muscular Dystrophy,0,no
cardiac,10.1186/s13287-024-03919-6,PMC11396807,Rezaeiani,2024,Stem cell research & therapy,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover cardiac,39267174,Expandable hESC-derived cardiovascular progenitor cells generate functional cardiac lineage cells for microtissue construction,2,no
cardiac,10.3390/biomedicines12122714,PMC11726960,Stougiannou,2024,Biomedicines,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,39767621,"In Vitro Models of Cardiovascular Disease: Embryoid Bodies, Organoids and Everything in Between",1,no
cardiac,10.1042/bst20230444,PMC11346450,Groen,2024,Biochemical Society transactions,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,38778769,Three-dimensional cardiac models: a pre-clinical testing platform,6,no
cardiac,10.1038/s44172-025-00527-x,PMC12634667,Goswami,2025,Communications engineering,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,41266844,Pillar arrays as tunable interfacial barriers for microphysiological systems,1,no
cardiac,10.1097/fjc.0000000000001802,PMC13043231,Yao,2026,Journal of cardiovascular pharmacology,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover cardiac,41719428,Integrating Network Pharmacology and In Vitro 3D Cardiac Organoid Model Validation to Investigate the Action Mechanism of Shenfu Xiangshao Decoction on Heart Failure,0,no
cardiac,10.3390/cells15100900,PMC13204734,Di Stefani,2026,Cells,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,42193908,Extracellular Vesicles in Cardiac Repair Approaches: Implications for In Vitro Heart Models and Potential ATMP Development,0,no
cardiac,10.1016/j.isci.2026.115827,PMC13186086,Nucera,2026,iScience,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover cardiac,42164865,"Application of spatial transcriptomics across organoids for a high-resolution, spatial whole-transcriptome benchmarking dataset",0,no
cardiac,10.3390/bioengineering13030309,PMC13023869,Ge,2026,"Bioengineering (Basel, Switzerland)",tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,41899840,Advancing Microplastic and Nanoplastic Toxicity Assessment: Insights from Human Organoid Models,0,no
cardiac,10.1016/j.reth.2026.101123,PMC13147764,Homma,2026,Regenerative therapy,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover cardiac,42099747,Integrative circulatory engineering for regenerative therapy: Dynamic perfusion design and metabolic maturation in cardiac tissue engineering,0,no
cardiac,10.3390/ph18081133,PMC12389403,Malan,2025,"Pharmaceuticals (Basel, Switzerland)",tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,40872524,Metabolic Maturation in hiPSC-Derived Cardiomyocytes: Emerging Strategies for Inducing the Adult Cardiac Phenotype,0,no
cardiac,10.3390/s26092739,PMC13165920,Wang,2026,"Sensors (Basel, Switzerland)",tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,42122459,Development and Evaluation of a Low-Cost Open-Source Nasometer,0,no
cardiac,10.7150/thno.127654,PMC13231838,Hamad,2026,Theranostics,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,42245001,Scalable differentiation of human cardiac organoids from iPSCs generates cardiac tissues for cardiac cell therapy,0,no
cardiac,10.1186/s13287-025-04847-9,PMC12797737,Kompa,2025,Stem cell research & therapy,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover cardiac,41350754,Device encapsulated MSCs for adaptive secretome therapy to effectively target ischaemic heart injury,0,no
cardiac,10.1038/s41467-024-50224-0,PMC11251028,Prondzynski,2024,Nature communications,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,39009604,Efficient and reproducible generation of human iPSC-derived cardiomyocytes and cardiac organoids in stirred suspension systems,49,no
cardiac,10.1111/cpr.13762,PMC11882745,Zhang,2025,Cell proliferation,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,39377453,Modelling myocardial ischemia/reperfusion injury with inflammatory response in human ventricular cardiac organoids,9,no
cardiac,10.1016/j.isci.2025.113611,PMC12546991,Cao,2025,iScience,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,41143002,Tissue microenvironment dictates the state of human iPSC-derived endothelial cells of distinct developmental origin in 3D cardiac microtissues,0,no
cardiac,10.1016/j.xjon.2025.03.006,PMC12230479,Kuroda,2025,JTCVS open,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,40631028,Transplantation of vascularized cardiac microtissue from human induced pluripotent stem cells improves impaired electrical conduction in a porcine myocardial injury model,1,no
cardiac,10.3389/fbioe.2022.1059243,PMC9715615,Liang,2022,Frontiers in bioengineering and biotechnology,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,36466327,Wnt signaling directs human pluripotent stem cells into vascularized cardiac organoids with chamber-like structures,14,no
cardiac,10.1186/s12933-025-02598-8,PMC11743075,Huang,2025,Cardiovascular diabetology,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover cardiac,39827092,Advances in cardiac organoid research: implications for cardiovascular disease treatment,10,no
cardiac,10.3389/fcell.2024.1426043,PMC11306051,Geyer,2024,Frontiers in cell and developmental biology,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,39119041,Three-dimensional structural and metric characterisation of cardioids,3,no
cardiac,10.1039/d4lc01000k,PMC11962860,Bounik,2025,Lab on a chip,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover cardiac,40171768,Seamless integration of CMOS microsensors into open microfluidic systems,2,no
cardiac,10.1016/j.jmccpl.2025.100298,PMC12020871,da Costa Martins,2025,Journal of molecular and cellular cardiology plus,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,40276359,Right ventricle remodelling: from &lt;i&gt;in vitro&lt;/i&gt; to &lt;i&gt;in vivo&lt;/i&gt; and from simple to complex models,0,no
cardiac,10.1016/j.reth.2025.01.001,PMC12000699,Huang,2025,Regenerative therapy,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover cardiac,40242086,Recent progress in the identification and in vitro culture of skin organoids,2,no
cardiac,10.1016/j.isci.2025.113531,PMC12506531,Liu,2025,iScience,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,41069858,Application of biomaterials in vascularization of cardiac organoids,1,no
cardiac,10.1515/mr-2023-0059,PMC10954298,Yang,2024,Medical review (2021),tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover cardiac,38515776,The new era of cardiovascular research: revolutionizing cardiovascular research with 3D models in a dish,2,no
cardiac,10.1016/j.heliyon.2024.e38714,PMC11620051,Jang,2024,Heliyon,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover cardiac,39640743,Modeling doxorubicin-induced-cardiotoxicity through breast cancer patient specific iPSC-derived heart organoid,6,no
cardiac,10.1021/acsomega.6c02067,PMC13150603,Xu,2026,ACS omega,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover cardiac,42110746,Full Symmetry-Breaking of Electronic and Nuclear Dynamics for Low-Attosecond Resolution of Electronic Chirality,0,no
cardiac,10.3390/ijms251910690,PMC11477044,Bufi,2024,International journal of molecular sciences,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,39409018,Three-Dimensional iPSC-Based In Vitro Cardiac Models for Biomedical and Pharmaceutical Research Applications,4,no
cardiac,10.3389/fcell.2025.1564889,PMC11994664,Zhang,2025,Frontiers in cell and developmental biology,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,40230411,Application of human cardiac organoids in cardiovascular disease research,1,no
cardiac,10.1016/j.jacbts.2025.101363,PMC12665400,Hata,2025,JACC. Basic to translational science,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover cardiac,40934809,Integrative Transcriptomic-Histological Analysis in Dilated Cardiomyopathy Unveils FGFR1 Inhibition as Anti-Cardiac Fibrotic and Cardioprotective Therapy,1,no
cardiac,10.3389/fcell.2023.1261279,PMC10425540,Wattanapanitch,2023,Frontiers in cell and developmental biology,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,37588663,Editorial: Advances in iPSC technology for disease modeling and therapeutic applications,3,no
cardiac,10.3390/cells14171390,PMC12428614,Zhao,2025,Cells,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,40940801,"Cardiac Development, Cellular Composition and Function: From Regulatory Mechanisms to Applications",0,no
cardiac,10.1016/j.ebiom.2022.103813,PMC8804169,Liu,2022,EBioMedicine,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover cardiac,35093634,Generating 3D human cardiac constructs from pluripotent stem cells,35,no
cardiac,10.3390/cells14171396,PMC12428058,Xiao,2025,Cells,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,40940807,Updated Applications of Stem Cells in Hypoplastic Left Heart Syndrome,0,no
cardiac,10.3390/cells15010007,PMC12784959,Chen,2025,Cells,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,41511291,Human Cardiac Organoids: Advances and Prospects from Construction to Preclinical Drug Evaluation,2,no
cardiac,10.3390/ijms27020601,PMC12841096,Fuller,2026,International journal of molecular sciences,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,41596256,Insights into Cardiomyocyte Regeneration from Screening and Transcriptomics Approaches,0,no
cardiac,,PMC10506403,Reyat,2023,Frontiers in cardiovascular medicine,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,,Modelling the pathology and treatment of cardiac fibrosis in vascularised atrial and ventricular cardiac microtissues,0,no
cardiac,10.3390/ijms27104616,PMC13207643,Aghagolzadeh,2026,International journal of molecular sciences,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,42196592,Neuregulin-1β Mitigates Doxorubicin-Induced Cardiotoxicity via &lt;i&gt;Serping1&lt;/i&gt; in Cardiac Fibroblasts,0,no
cardiac,10.1038/s41598-024-61554-w,PMC11362591,Hyams,2024,Scientific reports,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover cardiac,39209865,Improving human cardiac organoid design using transcriptomics,4,no
cardiac,10.1016/j.scr.2025.103819,PMC12577484,Chua,2025,Stem cell research,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover cardiac,40912204,"Generation of an induced pluripotent stem cell line, JHUi008-A, from a healthy female donor",0,no
cardiac,10.1126/sciadv.adw8852,PMC12292913,Yu,2025,Science advances,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,40712035,Full complex amplitude control of second-harmonic generation via electrically tunable intersubband polaritonic metasurfaces,2,no
cardiac,10.3390/bios14110517,PMC11592345,Peng,2024,Biosensors,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,39589976,An Easy-to-Use Arrayed Brain-Heart Chip,0,no
cardiac,10.1186/s13036-026-00664-7,PMC13127091,Kulkarni,2026,Journal of biological engineering,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,41857655,"In vitro electrical stimulation devices: practical framework for design, fabrication, and operation",1,no
cardiac,10.1016/j.csbj.2023.06.005,PMC10781881,Soares,2023,Computational and structural biotechnology journal,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,38213895,Systems bioengineering approaches for developmental toxicology,1,no
cardiac,10.1016/j.bioactmat.2023.08.023,PMC10493503,Kerr,2024,Bioactive materials,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover cardiac,37701451,Decellularized heart extracellular matrix alleviates activation of hiPSC-derived cardiac fibroblasts,16,no
cardiac,10.1002/adma.202417327,PMC12232214,Wang,2025,"Advanced materials (Deerfield Beach, Fla.)",tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,40051234,Cardiac Organoid Model Inspired Micro-Robot Smart Patch to Treat Myocardial Infarction,8,no
cardiac,10.1038/s44161-025-00669-3,PMC12259470,Pocock,2025,Nature cardiovascular research,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,40562874,Maturation of human cardiac organoids enables complex disease modeling and drug discovery,12,no
cardiac,10.1016/j.stemcr.2025.102422,PMC11960529,Snabel,2025,Stem cell reports,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover cardiac,40020683,Cardiac differentiation roadmap for analysis of plasticity and balanced lineage commitment,5,no
cardiac,10.1038/s44385-025-00048-4,PMC12779562,Bain,2026,npj biomedical innovations,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,41522237,Progress and challenges in transplantation of human pluripotent stem cell derived cardiomyocytes for cardiac therapy,0,no
cardiac,10.3390/ijms262311589,PMC12692318,Nguyen,2025,International journal of molecular sciences,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,41373741,Integrating Bioprinting and Increased Throughput: Next-Generation Models for Cardiac Research,0,no
cardiac,10.3389/fcell.2021.788955,PMC8675211,Pang,2021,Frontiers in cell and developmental biology,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,34926467,Insights to Heart Development and Cardiac Disease Models Using Pluripotent Stem Cell Derived 3D Organoids,11,no
cardiac,10.3390/ijms24054857,PMC10002991,Branco,2023,International journal of molecular sciences,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,36902285,Developmental Toxicity Studies: The Path towards Humanized 3D Stem Cell-Based Models,3,no
cardiac,10.1016/j.dmd.2025.100188,PMC13095430,Gracey,2025,Drug metabolism and disposition: the biological fate of chemicals,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover cardiac,41252796,Novel emerging cell and organoid systems for the study of drug metabolism and toxicity in humans,1,no
cardiac,10.1002/mco2.70392,PMC12446705,Ding,2025,MedComm,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,40979216,Gene Therapy Targeting &lt;i&gt;Pkp2&lt;/i&gt; Deficiency Attenuates Cardiac Fibrosis: Insights From Single-Cell Transcriptomics in &lt;i&gt;Pkp2&lt;/i&gt;-Knockout Rats,1,no
cardiac,10.1007/s12015-026-11127-3,PMC13241447,Varela,2026,Stem cell reviews and reports,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,42089915,Hypoplastic Left Heart Syndrome Cardiomyocytes Exhibit Intrinsic Stress Vulnerabilities and Augmented Stress Responses in vitro,0,no
cardiac,10.1186/s13578-024-01339-w,PMC11740338,Wang,2025,Cell & bioscience,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,39825425,Human epicardial organoids from pluripotent stem cells resemble fetal stage with potential cardiomyocyte- transdifferentiation,4,no
cardiac,10.1126/sciadv.adf2898,PMC10403216,Tan,2023,Science advances,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover cardiac,37540743,Nanowired human cardiac organoid transplantation enables highly efficient and effective recovery of infarcted hearts,40,no
cardiac,10.1113/jp286416,PMC11955871,Wu,2025,The Journal of physiology,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover cardiac,39235952,Modelling neurocardiac physiology and diseases using human pluripotent stem cells: current progress and future prospects,2,no
cardiac,10.7150/thno.67661,PMC8965483,Cho,2022,Theranostics,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,35401829,From engineered heart tissue to cardiac organoid,38,no
cardiac,10.3390/bioengineering12101037,PMC12561129,Kgabeng,2025,"Bioengineering (Basel, Switzerland)",tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,41155036,Integrating Spatial Omics and Deep Learning: Toward Predictive Models of Cardiomyocyte Differentiation Efficiency,0,no
cardiac,10.1007/s00018-024-05557-w,PMC11699091,Liu,2025,Cellular and molecular life sciences : CMLS,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover cardiac,39751829,Establishment of nasal and olfactory epithelium organoids for unveiling mechanism of tissue regeneration and pathogenesis of nasal diseases,5,no
cardiac,10.3389/fbioe.2026.1717996,PMC12957250,Chanthra,2026,Frontiers in bioengineering and biotechnology,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,41789265,Transcriptome-based maturation assessment revealed pro-maturation transcription factors of cardiomyocytes,0,no
cardiac,10.1016/j.mtbio.2025.102274,PMC12451373,Lee,2025,Materials today. Bio,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,40989835,Recent advances in applications of nanoparticles and decellularized ECM for organoid engineering,1,no
cardiac,10.1007/s11306-025-02252-0,PMC12011886,Bowen,2025,Metabolomics : Official journal of the Metabolomic Society,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,40257543,Mass spectrometry-based characterisation of the cardiac microtissue metabolome and lipidome,1,no
cardiac,10.1016/j.heliyon.2022.e10365,PMC9469666,Künzel,2022,Heliyon,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover cardiac,36110234,Generation of self-assembling cardiac organoids using hiPSC-derived cardiomyocytes,5,no
cardiac,10.1097/cm9.0000000000004067,PMC13120518,Li,2026,Chinese medical journal,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover cardiac,41850780,Organoid models: Regulations and prospects for the development of investigational new drugs,0,no
cardiac,10.3390/s24237572,PMC11644437,Nnonyelu,2024,"Sensors (Basel, Switzerland)",tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,39686108,Performance Analysis of Cardioid and Omnidirectional Microphones in Spherical Sector Arrays for Coherent Source Localization,1,no
cardiac,10.3390/molecules29153544,PMC11314410,Souza,2024,"Molecules (Basel, Switzerland)",tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,39124949,Synthesis and Anti-<i>Trypanosoma cruzi</i> Activity of New Pyrazole-Thiadiazole Scaffolds,2,no
cardiac,10.3389/fbioe.2025.1629608,PMC12325324,Jiao,2025,Frontiers in bioengineering and biotechnology,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,40771720,Applications in osteochondral organoids for osteoarthritis research: from pathomimetic modeling to tissue engineering repair,0,no
cardiac,10.3390/ijms232415785,PMC9779514,Dias,2022,International journal of molecular sciences,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,36555427,Cost-Effective Mechanical Aggregation of Cardiac Progenitors and Encapsulation in Matrigel Support Self-Organization in a Dynamic Culture Environment,3,no
cardiac,10.3389/fcell.2022.936084,PMC9261984,Xuan,2022,Frontiers in cell and developmental biology,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,35813193,Transformational Applications of Human Cardiac Organoids in Cardiovascular Diseases,10,no
