organoid_type	doi	pmcid	first_author	year	journal	species	source_cell_type	license	has_methods	has_supplement	gold_candidate	flags	notes
inner-ear	10.1242/dmm.049593	PMC10621662	Connolly	2022	Disease models & mechanisms	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 0.571
vascular	10.21769/bioprotoc.4870	PMC10632161	Sun	2023	Bio-protocol	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
neuromuscular	10.7554/elife.87081	PMC10645425	Mavrommatis	2023	eLife	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
bladder	10.1093/narcan/zcad054	PMC10653028	Hodara	2023	NAR cancer	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
esophageal	10.1242/dmm.049541	PMC10655818	Raad	2022	Disease models & mechanisms	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 0.571
skin	10.1016/j.mtbio.2023.100851	PMC10663892	Roets	2023	Materials today. Bio	tbd	tbd	CC-BY-NC	yes	tbd	no	auto-ingested	orchestrator batch; grounding 0.571
bladder	10.3390/biomedicines11112958	PMC10669858	Berndt-Paetz	2023	Biomedicines	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
thyroid	10.1038/s41388-023-02889-y	PMC10786723	Lasolle	2024	Oncogene	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 0.75
prostate	10.3390/ijms25021093	PMC10816550	Waseem	2024	International journal of molecular sciences	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
mammary	10.1007/s10911-023-09553-x	PMC10827859	Ortiz	2024	Journal of mammary gland biology and neoplasia	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 0.846
esophageal	10.1016/j.celrep.2023.113355	PMC10841581	Salahudeen	2023	Cell reports	tbd	tbd	CC-BY-NC	yes	tbd	no	auto-ingested	orchestrator batch; grounding 0.667
esophageal	10.1242/dmm.050319	PMC10846528	Jiang	2024	Disease models & mechanisms	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
neuromuscular	10.1016/j.ibneur.2024.01.004	PMC10847990	Suong	2024	IBRO neuroscience reports	tbd	tbd	CC-BY-NC	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
cholangiocyte	10.1186/s13287-024-03692-6	PMC10935784	Wang	2024	Stem cell research & therapy	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 0.714
bladder	10.1038/s41588-024-01674-1	PMC10937382	Li	2024	Nature genetics	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
thyroid	10.1007/s00405-023-08348-4	PMC10942880	Zhu	2024	European archives of oto-rhino-laryngology : official journal of the European Federation of Oto-Rhino-Laryngological Societies (EUFOS) : affiliated with the German Society for Oto-Rhino-Laryngology - Head and Neck Surgery	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
fallopian-tube	10.1007/s00432-024-05654-0	PMC10955023	Hu	2024	Journal of cancer research and clinical oncology	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 0.5
salivary-gland	10.3390/pharmaceutics16030435	PMC10976128	Zanten	2024	Pharmaceutics	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 0.6
esophageal	10.1038/s41467-024-47173-z	PMC11004180	Kumar	2024	Nature communications	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
neuromuscular	10.3390/cells13070596	PMC11011706	Sun	2024	Cells	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
esophageal	10.1016/j.jcmgh.2024.01.025	PMC11026689	Sasaki	2024	Cellular and molecular gastroenterology and hepatology	tbd	tbd	CC-BY-NC	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
kidney		PMC11069262	Pecksen	2024	Stem cell research & therapy	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 0.5
neuromuscular	10.21769/bioprotoc.4984	PMC11082787	Kindler	2024	Bio-protocol	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
cholangiocyte	10.1097/hep.0000000000000343	PMC11095893	Afonso	2024	Hepatology (Baltimore, Md.)	tbd	tbd	CC-BY-NC	yes	tbd	no	auto-ingested	orchestrator batch; grounding 0.833
inner-ear	10.3390/bioengineering11050425	PMC11118046	Shah	2024	Bioengineering (Basel, Switzerland)	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 0.667
esophageal	10.3390/biom14050519	PMC11118668	Carswell	2024	Biomolecules	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
esophageal	10.1016/j.jcmgh.2024.02.018	PMC11126828	Klochkova	2024	Cellular and molecular gastroenterology and hepatology	tbd	tbd	CC-BY-NC	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
esophageal	10.1177/20417314241255470	PMC11131411	Xiu	2024	Journal of tissue engineering	tbd	tbd	CC-BY-NC	yes	tbd	no	auto-ingested	orchestrator batch; grounding 0.857
blood-brain-barrier	10.3390/molecules29112469	PMC11173746	Kostka	2024	Molecules (Basel, Switzerland)	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
inner-ear	10.1111/cpr.13620	PMC11216921	Sun	2024	Cell proliferation	tbd	tbd	CC-BY	yes	tbd	no	auto-ingested	orchestrator batch; grounding 1.0
